,mean_AUROC,margin_of_error_AUROC,mean_AUPR,margin_of_error_AUPR,AUPR_random,relative_mean_AUPR
Adipose Tissue,0.605926432847938,0.002358332733948,0.116535361567557,0.001631360645679,0.083413693346191,1.39707710919719
Muscle,0.752353441196706,0.002358332733948,0.153307923667493,0.001631360645679,0.055448408871745,2.76487507553374
Blood Vessel,0.635192598838325,0.002358332733948,0.134726940077125,0.001631360645679,0.092092574734812,1.46295117130868
Heart,0.816295354559767,0.002358332733948,0.421753134550394,0.001631360645679,0.059546769527483,7.08272065633618
Uterus,0.528353851544359,0.002358332733948,0.01328583075288,0.001631360645679,0.009884281581485,1.34413721860839
Vagina,0.57258218146376,0.002358332733948,0.02113085746562,0.001631360645679,0.010607521697204,1.99206356289521
Breast,0.591417520023202,0.002358332733948,0.043147561524602,0.001631360645679,0.032304725168756,1.33564242689589
Skin,0.610946228465412,0.002358332733948,0.123157615035133,0.001631360645679,0.090405014464802,1.36228743244195
Salivary Gland,0.789790770143938,0.002358332733948,0.103343899341367,0.001631360645679,0.011089681774349,9.31892379278239
Brain,0.726386244285267,0.002358332733948,0.102525104426903,0.001631360645679,0.033992285438766,3.01612860399144
Adrenal Gland,0.590308785846691,0.002358332733948,0.026522146545919,0.001631360645679,0.017357762777242,1.52797033156212
Thyroid,0.595212641435817,0.002358332733948,0.06656704195746,0.001631360645679,0.045081967213115,1.47657802160184
Lung,0.583962959256722,0.002358332733948,0.056682942226609,0.001631360645679,0.039296046287367,1.44245916782805
Spleen,0.666848219434833,0.002358332733948,0.035369841192925,0.001631360645679,0.016393442622951,2.15756031276844
Pancreas,0.636698558817664,0.002358332733948,0.039725945780374,0.001631360645679,0.022661523625844,1.7530130116701
Esophagus,0.697322448559711,0.002358332733948,0.267776809052145,0.001631360645679,0.099083895853423,2.70252604366982
Stomach,0.764015391623778,0.002358332733948,0.414079798478033,0.001631360645679,0.024590163934426,16.8392451381067
Colon,0.90273904520715,0.002358332733948,0.586366263401742,0.001631360645679,0.054001928640309,10.8582466990644
Small Intestine,0.755834450664639,0.002358332733948,0.056271107665932,0.001631360645679,0.012777242044359,4.40401046411863
Prostate,0.574824676409037,0.002358332733948,0.024299463318103,0.001631360645679,0.016634522661524,1.46078512816654
Testis,0.822687052329582,0.002358332733948,0.133946173664708,0.001631360645679,0.024590163934426,5.44714439569813
Nerve,0.611449508833121,0.002358332733948,0.061436849919828,0.001631360645679,0.043153326904532,1.4236874495388
Blood,0.817622092572376,0.002358332733948,0.211587898493557,0.001631360645679,0.051350048216008,4.12050048333932
Pituitary,0.635215477507375,0.002358332733948,0.04087893098531,0.001631360645679,0.019286403085825,2.11957257158832
Ovary,0.564955299669294,0.002358332733948,0.01774126302525,0.001631360645679,0.012295081967213,1.44295605938696
Liver,0.790801710657699,0.002358332733948,0.395412244560059,0.001631360645679,0.015670202507232,25.2333844682327
Kidney,0.516799830261882,0.002358332733948,0.009067187264567,0.001631360645679,0.005785920925747,1.56711219889259
Bladder,0.924873038860729,0.002358332733948,0.021230872862102,0.001631360645679,0.001205400192864,17.6131321263999
