"","Liver","Heart","Bladder","Colon","Testis","Stomach","microbiomes"
"Aalivirus A",0,0,0,0,0,0,"Aalivirus A"
"Aarhusvirus dagda",0,0,0,0,0,0,"Aarhusvirus dagda"
"Aarhusvirus katbat",0,0,0,0,0,0,"Aarhusvirus katbat"
"Aarhusvirus luksen",0,0,0,0,0,0,"Aarhusvirus luksen"
"Aarhusvirus mysterion",0,0,0,0,0,0,"Aarhusvirus mysterion"
"Abaca bunchy top virus",0,0,0,0,0,0,"Abaca bunchy top virus"
"Abalone shriveling syndrome-associated virus",0,0,0,0,0,0,"Abalone shriveling syndrome-associated virus"
"Abatino macacapox virus",0,0,0,0,0,0,"Abatino macacapox virus"
"Abbeymikolonvirus abbeymikolon",0,0,0,0,0,0,"Abbeymikolonvirus abbeymikolon"
"Abelson murine leukemia virus",0.000389105096216449,4.12982013598941e-05,2.32227428546015e-05,0.00130021947122878,0.000419582173922068,0.000439555157970782,"Abelson murine leukemia virus"
"Abidjanvirus ZC01",0,0,0,0,0,0,"Abidjanvirus ZC01"
"Abiotrophia defectiva",0,0,0,0,7.20519467485207e-06,0,"Abiotrophia defectiva"
"Abisko virus",0,0,0,0,0,0,"Abisko virus"
"Abouovirus abouo",0,0,0,0,0,0,"Abouovirus abouo"
"Abouovirus davies",0,0,0,0,0,0,"Abouovirus davies"
"Abutilon Brazil virus",0,0,0,0,0,0,"Abutilon Brazil virus"
"Abutilon golden mosaic virus",0,0,0,0,0,0,"Abutilon golden mosaic virus"
"Abutilon mosaic Bolivia virus",0,0,0,0,0,0,"Abutilon mosaic Bolivia virus"
"Abutilon mosaic Brazil virus",0,0,0,0,0,0,"Abutilon mosaic Brazil virus"
"Abutilon mosaic virus",0,0,0,0,0,0,"Abutilon mosaic virus"
"Abyssalbus ytuae",0,0,0,0,0,0,"Abyssalbus ytuae"
"Abyssicoccus albus",0,0,0,0,0,0,"Abyssicoccus albus"
"Abyssogena phaseoliformis symbiont",0,0,0,0,0,0,"Abyssogena phaseoliformis symbiont"
"Acadevirus PM116",0,0,0,0,0,0,"Acadevirus PM116"
"Acadevirus PM85",0,0,0,0,0,0,"Acadevirus PM85"
"Acadevirus PM93",0,0,0,0,0,0,"Acadevirus PM93"
"Acadevirus Pm5460",0,0,0,0,0,0,"Acadevirus Pm5460"
"Acadianvirus acadian",0,0,0,0,0,0,"Acadianvirus acadian"
"Acadianvirus baee",0,0,0,0,0,0,"Acadianvirus baee"
"Acadianvirus reprobate",0,0,0,0,0,0,"Acadianvirus reprobate"
"Acadianvirus serendipitous",0,0,0,0,0,0,"Acadianvirus serendipitous"
"Acajnonavirus acj9",0,0,0,0,0,0,"Acajnonavirus acj9"
"Acanthamoeba polyphaga mimivirus",0,0,0,0,0,0,"Acanthamoeba polyphaga mimivirus"
"Acanthocystis turfacea chlorella virus 1",0,0,0,0,0,0,"Acanthocystis turfacea chlorella virus 1"
"Acartia tonsa copepod circovirus",0,0,0,0,0,0,"Acartia tonsa copepod circovirus"
"Acaryochloris marina",0,0,0,0,0,0,"Acaryochloris marina"
"Acetilactobacillus jinshanensis",0,0,0,0,0,0,"Acetilactobacillus jinshanensis"
"Acetivibrio clariflavus",0,0,0,0,0,0,"Acetivibrio clariflavus"
"Acetivibrio saccincola",0,0,0,6.4816310911444e-05,0,0,"Acetivibrio saccincola"
"Acetivibrio thermocellus",0,0,0,0,0,0,"Acetivibrio thermocellus"
"Acetoanaerobium sticklandii",0,0,0,0,0,0,"Acetoanaerobium sticklandii"
"Acetobacter ascendens",0,0,0,0,0,0,"Acetobacter ascendens"
"Acetobacter oryzifermentans",0,0,0,3.13814108937607e-05,0,0,"Acetobacter oryzifermentans"
"Acetobacter oryzoeni",0,0,0,0,0,0,"Acetobacter oryzoeni"
"Acetobacter pasteurianus",0,0,0,0,0,0,"Acetobacter pasteurianus"
"Acetobacter senegalensis",0,1.91951474833008e-05,0,0,0,0,"Acetobacter senegalensis"
"Acetobacterium woodii",0,0,0,1.25234369690685e-05,0,0,"Acetobacterium woodii"
"Acetohalobium arabaticum",0,0,0,0,0,0,"Acetohalobium arabaticum"
"Acetomicrobium mobile",0,0,0,0,0,0,"Acetomicrobium mobile"
"Acheta domesticus volvovirus",0,0,0,0,0,0,"Acheta domesticus volvovirus"
"Achimota pararubulavirus 1",0,0,0,0,0,0,"Achimota pararubulavirus 1"
"Achimota pararubulavirus 2",0,0,0,0,0,0,"Achimota pararubulavirus 2"
"Acholeplasma hippikon",0,0,0,0,0,0,"Acholeplasma hippikon"
"Achromobacter denitrificans",0,0,0,0,0,0,"Achromobacter denitrificans"
"Achromobacter insolitus",0,0,0,0,0,0,"Achromobacter insolitus"
"Achromobacter phage JWF",0,0,0,0,0,0,"Achromobacter phage JWF"
"Achromobacter phage phiAxp-1",0,0,0,0,0,0,"Achromobacter phage phiAxp-1"
"Achromobacter spanius",0,0,0,1.25320034336632e-05,1.36740367471636e-05,0,"Achromobacter spanius"
"Achromobacter xylosoxidans",0,0,0,0,6.34330561360843e-06,0,"Achromobacter xylosoxidans"
"Acidaminococcus fermentans",0,0,0,4.8968603940792e-05,0,0,"Acidaminococcus fermentans"
"Acidianus ambivalens",0,0,0,0,0,0,"Acidianus ambivalens"
"Acidianus brierleyi",0,0,0,0,0,0,"Acidianus brierleyi"
"Acidianus filamentous virus 6",0,0,0,0,0,0,"Acidianus filamentous virus 6"
"Acidianus filamentous virus 7",0,0,0,0,0,0,"Acidianus filamentous virus 7"
"Acidianus filamentous virus 8",0,0,0,0,0,0,"Acidianus filamentous virus 8"
"Acidianus filamentous virus 9",0,0,0,0,0,0,"Acidianus filamentous virus 9"
"Acidianus hospitalis",0,0,0,0,0,0,"Acidianus hospitalis"
"Acidianus manzaensis",0,0,0,0,0,0,"Acidianus manzaensis"
"Acidianus sp. HS-5",0,0,0,0,0,0,"Acidianus sp. HS-5"
"Acidianus spindle-shaped virus 1",0,0,0,0,0,0,"Acidianus spindle-shaped virus 1"
"Acidianus sulfidivorans",0,0,0,0,0,0,"Acidianus sulfidivorans"
"Acidianus tailed spindle virus",0,0,0,0,0,0,"Acidianus tailed spindle virus"
"Acidianus two-tailed virus",0,0,0,0,0,0,"Acidianus two-tailed virus"
"Acidibrevibacterium fodinaquatile",0,0,0,0,0,0,"Acidibrevibacterium fodinaquatile"
"Acididesulfobacillus acetoxydans",0,0,0,0,0,0,"Acididesulfobacillus acetoxydans"
"Acidiferrobacter thiooxydans",0,0,0,0,0,0,"Acidiferrobacter thiooxydans"
"Acidihalobacter yilgarnensis",0,0,0,0,0,0,"Acidihalobacter yilgarnensis"
"Acidilobus saccharovorans",0,0,0,0,0,0,"Acidilobus saccharovorans"
"Acidilobus sp. 7A",0,0,0,0,0,0,"Acidilobus sp. 7A"
"Acidimicrobium ferrooxidans",0,0,0,0,0,0,"Acidimicrobium ferrooxidans"
"Acidiphilium multivorum",0,0,0,0,0,0,"Acidiphilium multivorum"
"Acidipropionibacterium acidipropionici",0,0,0,0,0,0,"Acidipropionibacterium acidipropionici"
"Acidipropionibacterium jensenii",0,0,0,0,0,0,"Acidipropionibacterium jensenii"
"Acidipropionibacterium virtanenii",0,0,0,0,0,0,"Acidipropionibacterium virtanenii"
"Acidisarcina polymorpha",0,0,0,0,0,0,"Acidisarcina polymorpha"
"Acidithiobacillus ferridurans",0,0,0,0,0,0,"Acidithiobacillus ferridurans"
"Acidithiobacillus ferriphilus",9.24214050450978e-05,0,0,0,0,0,"Acidithiobacillus ferriphilus"
"Acidithiobacillus ferrooxidans",0,0,0,0,0,0,"Acidithiobacillus ferrooxidans"
"Acidithiobacillus thiooxidans",0,0,0,0,0,0,"Acidithiobacillus thiooxidans"
"Acidobacterium capsulatum",0,0,0,0,0,0,"Acidobacterium capsulatum"
"Acidothermus cellulolyticus",0,0,0,0,0,0,"Acidothermus cellulolyticus"
"Acidovorax antarcticus",0,2.10997881547901e-05,0,7.4868789636058e-06,0,0,"Acidovorax antarcticus"
"Acidovorax avenae",0.00045688617058701,0,0,0,4.85662964867268e-06,0,"Acidovorax avenae"
"Acidovorax carolinensis",0,1.0285128631218e-05,0,0.000166865224250818,1.93266949597326e-05,0.000303589722299359,"Acidovorax carolinensis"
"Acidovorax citrulli",0,0,0,0.000544844472241743,0,1.65060852170475e-05,"Acidovorax citrulli"
"Acidovorax monticola",0,1.7409176302337e-05,0,0.000678437860253301,5.5255944049769e-06,6.36596617004016e-05,"Acidovorax monticola"
"Aciduliprofundum boonei",0,0,0,0,0,0,"Aciduliprofundum boonei"
