,AUROC,margin_of_error_AUROC,AUPR,margin_of_error_AUPR,AUPR_random,relative_AUPR
Adipose Tissue,0.607345327831716,0.002618654334769,0.11991915129933,0.001643071436312,0.083413693346191,1.43764346702203
Muscle,0.749032603147125,0.002755259351002,0.148360851206171,0.003302557160976,0.055448408871745,2.67565569914434
Blood Vessel,0.633214466444045,0.002352408482482,0.133491061376301,0.001369326640449,0.092092574734812,1.4495312109657
Heart,0.803704219929075,0.002960118152192,0.42651043324755,0.007131937850921,0.059546769527483,7.16261245793862
Uterus,0.544665769922856,0.007467356783006,0.01455306129716,0.001088882380005,0.009884281581485,1.47234386001512
Vagina,0.612722260987064,0.007655116509967,0.019904782560599,0.00150393800053,0.010607521697204,1.87647813775824
Breast,0.59555681978746,0.004128487454099,0.044383985553112,0.000882631667515,0.032304725168756,1.37391620950978
Skin,0.620083212297906,0.002937945655917,0.128220506363929,0.001707540014654,0.090405014464802,1.41828976106021
Salivary Gland,0.792936796472558,0.00606508633839,0.091547443412453,0.006054654372001,0.011089681774349,8.25519120162727
Brain,0.695727830905844,0.003935848258224,0.085375378991652,0.002493298179092,0.033992285438766,2.51161044012321
Adrenal Gland,0.581662765101952,0.005485871191509,0.025854792516853,0.001242596464418,0.017357762777242,1.48952332444312
Thyroid,0.595709180553174,0.00399966292685,0.064204151457307,0.001218949289073,0.045081967213115,1.4241648141439
Lung,0.587341241311359,0.003691304062637,0.058188671159553,0.001253041607845,0.039296046287367,1.4807767360112
Spleen,0.64162472967128,0.006322594652274,0.032752615045569,0.001280482440407,0.016393442622951,1.9979095177797
Pancreas,0.587993904103119,0.005544907784725,0.032695947088874,0.001014101926452,0.022661523625844,1.44279562260265
Esophagus,0.682041057824465,0.002389138842965,0.253185095752069,0.004002388765581,0.099083895853423,2.55525979849047
Stomach,0.765535471974257,0.00482504484509,0.30728907420788,0.008188767839325,0.024590163934426,12.4964223511205
Colon,0.905758797737367,0.00217420800239,0.58141154753033,0.005662298564736,0.054001928640309,10.7664959783741
Small Intestine,0.740895132121547,0.006116079066493,0.050288352702727,0.002874355170988,0.012777242044359,3.93577522662095
Prostate,0.562451314793694,0.006449354394216,0.023617221696771,0.001120460196558,0.016634522661524,1.41977153040876
Testis,0.749802928091652,0.004456474791016,0.081027471745934,0.002642979699561,0.024590163934426,3.29511718433465
Nerve,0.615549418608743,0.003739742482691,0.063778572977789,0.001278423843114,0.043153326904532,1.47795262967524
Blood,0.808465385280766,0.002515431399641,0.21403517323374,0.004161347756731,0.051350048216008,4.16815914823265
Pituitary,0.597287410889872,0.005479736201507,0.031634723419772,0.001365723006298,0.019286403085825,1.64026040931518
Ovary,0.59968176140361,0.007209145522154,0.019679128913746,0.000947549260304,0.012295081967213,1.6005691516513
Liver,0.770136645377645,0.00533953517357,0.150778636882938,0.00727219201062,0.015670202507232,9.62199670446811
Kidney,0.580681427820886,0.010276502035914,0.009618794623721,0.001240233519001,0.005785920925747,1.66244833746647
Bladder,0.917638667632151,0.011272676135862,0.035184211732456,0.010449591651182,0.001205400192864,29.1888220532452
