"Adipose Tissue","Adipose Tissue_meanFrequency","Muscle","Muscle_meanFrequency","Blood Vessel","Blood Vessel_meanFrequency","Heart","Heart_meanFrequency","Uterus","Uterus_meanFrequency","Vagina","Vagina_meanFrequency","Breast","Breast_meanFrequency","Skin","Skin_meanFrequency","Salivary Gland","Salivary Gland_meanFrequency","Brain","Brain_meanFrequency","Adrenal Gland","Adrenal Gland_meanFrequency","Thyroid","Thyroid_meanFrequency","Lung","Lung_meanFrequency","Spleen","Spleen_meanFrequency","Pancreas","Pancreas_meanFrequency","Esophagus","Esophagus_meanFrequency","Stomach","Stomach_meanFrequency","Colon","Colon_meanFrequency","Small Intestine","Small Intestine_meanFrequency","Prostate","Prostate_meanFrequency","Testis","Testis_meanFrequency","Nerve","Nerve_meanFrequency","Blood","Blood_meanFrequency","Pituitary","Pituitary_meanFrequency","Ovary","Ovary_meanFrequency","Liver","Liver_meanFrequency","Kidney","Kidney_meanFrequency","Bladder","Bladder_meanFrequency"
"Abiotrophia defectiva","6.9369189532872","Abiotrophia defectiva","1.75833419817471","Abiotrophia defectiva","5.45717349803922","Abiotrophia defectiva","1.60544530266344","Abiotrophia defectiva","6.56881565217391","Abiotrophia defectiva","3.03413635135135","Abiotrophia defectiva","2.4645351901566","Abiotrophia defectiva","2.277025512","Abiotrophia defectiva","1.64293820512821","Abiotrophia defectiva","1.63577186440678","Abiotrophia defectiva","1.95861289256198","Abiotrophia defectiva","4.0633576","Abiotrophia defectiva","6.33603703296703","Abiotrophia defectiva","2.70288088105727","Abiotrophia defectiva","4.10834649681529","Abiotrophia defectiva","3.73803454412837","Abiotrophia defectiva","2.54054970674487","Abiotrophia defectiva","3.04742318607764","Abiotrophia defectiva","3.1966251396648","Abiotrophia defectiva","3.42270871244635","Abiotrophia defectiva","1.9142943148688","Abiotrophia defectiva","3.53806008375209","Abiotrophia defectiva","2.71060226123596","Abiotrophia defectiva","3.42768277153558","Abiotrophia defectiva","7.77467439306358","Abiotrophia defectiva","1.88826216589862","Abiotrophia defectiva","1.62612301204819","Abiotrophia defectiva","5.95634789473684"
"Abyssicoccus albus","2.06918718858131","Abyssicoccus albus","0.906565136897001","Abyssicoccus albus","4.32161807843137","Abyssicoccus albus","1.68303175544794","Abyssicoccus albus","1.94307630434783","Abyssicoccus albus","1.93617182432432","Abyssicoccus albus","2.49103085234899","Abyssicoccus albus","2.602766592","Abyssicoccus albus","0.601762435897436","Abyssicoccus albus","6.44155618644068","Abyssicoccus albus","1.74132351239669","Abyssicoccus albus","1.68884632","Abyssicoccus albus","4.52759208791209","Abyssicoccus albus","1.5146972246696","Abyssicoccus albus","2.80630468152866","Abyssicoccus albus","4.16770031363968","Abyssicoccus albus","3.75740868035191","Abyssicoccus albus","2.45518112449799","Abyssicoccus albus","1.4571948603352","Abyssicoccus albus","5.21882373390558","Abyssicoccus albus","1.45853137026239","Abyssicoccus albus","3.34143644891122","Abyssicoccus albus","2.05400665730337","Abyssicoccus albus","2.13221411985019","Abyssicoccus albus","2.84552612716763","Abyssicoccus albus","58.4073058986175","Abyssicoccus albus","0.708456385542169","Abyssicoccus albus","5.58975578947368"
"Acaryochloris marina","0.769905121107266","Achromobacter denitrificans","0.251521160365059","Achromobacter denitrificans","0.920936478431372","Achromobacter denitrificans","0.3851549031477","Acaryochloris marina","0.820880144927536","Achromobacter denitrificans","0.423388040540541","Achromobacter denitrificans","1.01500718120805","Achromobacter denitrificans","0.429667928","Achromobacter insolitus","0.192537435897436","Achromobacter denitrificans","0.315771504237288","Achromobacter denitrificans","0.434764628099174","Acaryochloris marina","9.209686688","Acaryochloris marina","1.68939078754579","Acaryochloris marina","1.73910303964758","Acaryochloris marina","0.492171146496815","Achromobacter denitrificans","0.488953326039387","Achromobacter denitrificans","0.571161173020528","Achromobacter denitrificans","0.355821700133869","Acaryochloris marina","0.597904301675978","Acaryochloris marina","0.707931974248927","Achromobacter denitrificans","0.247347521865889","Acaryochloris marina","10.9772503015075","Acaryochloris marina","0.928423764044944","Achromobacter denitrificans","0.473637528089888","Achromobacter denitrificans","0.452479884393064","Acaryochloris marina","0.336098294930876","Acaryochloris marina","0.28339","Acaryochloris marina","0.325902631578947"
"Achromobacter denitrificans","0.743117465397924","Achromobacter spanius","0.757804876140808","Achromobacter insolitus","0.564208368627451","Achromobacter spanius","1.11080707021792","Achromobacter denitrificans","0.534334347826087","Achromobacter insolitus","0.364592972972973","Achromobacter insolitus","0.848879172259508","Achromobacter insolitus","0.513093848","Achromobacter spanius","0.856549871794872","Achromobacter spanius","1.10280550847458","Achromobacter spanius","2.47930954545455","Achromobacter denitrificans","0.533093728","Achromobacter denitrificans","1.17349346153846","Achromobacter denitrificans","0.423437136563877","Achromobacter denitrificans","0.494846464968153","Achromobacter insolitus","0.513816863603209","Achromobacter insolitus","0.400405601173021","Achromobacter spanius","1.64492894243641","Achromobacter denitrificans","0.281238491620112","Achromobacter denitrificans","0.576595836909871","Achromobacter spanius","1.85232755102041","Achromobacter denitrificans","0.390461373534338","Achromobacter denitrificans","1.69854508426966","Achromobacter spanius","1.82480007490637","Achromobacter insolitus","0.309644566473988","Achromobacter denitrificans","0.851714884792627","Achromobacter denitrificans","0.322331204819277","Acetobacter senegalensis","0.443134210526316"
"Achromobacter spanius","1.53579344290657","Achromobacter xylosoxidans","2.33206559322034","Achromobacter spanius","2.65805319215686","Achromobacter xylosoxidans","2.96549930992736","Achromobacter insolitus","0.349582463768116","Achromobacter spanius","3.11053513513514","Achromobacter spanius","2.74461058165548","Achromobacter spanius","1.816355512","Achromobacter xylosoxidans","1.89165076923077","Achromobacter xylosoxidans","2.91188519067797","Achromobacter xylosoxidans","2.52372756198347","Achromobacter insolitus","1.349344192","Achromobacter insolitus","3.20114771062271","Achromobacter insolitus","0.295895462555066","Achromobacter insolitus","0.371233025477707","Achromobacter spanius","2.96633338657914","Achromobacter spanius","3.27080671554252","Achromobacter xylosoxidans","3.46821886211513","Achromobacter insolitus","0.280175865921788","Achromobacter insolitus","0.421069570815451","Achromobacter xylosoxidans","2.09598504373178","Achromobacter insolitus","0.24180648241206","Achromobacter insolitus","0.607232514044944","Achromobacter xylosoxidans","3.76569947565543","Achromobacter spanius","3.66150473988439","Achromobacter insolitus","0.351647603686636","Achromobacter insolitus","0.237740481927711","Achromobacter denitrificans","1.01324578947368"
"Achromobacter xylosoxidans","3.88475214532872","Acidovorax antarcticus","5.71711625814863","Achromobacter xylosoxidans","3.76997469803922","Acidothermus cellulolyticus","1.60984134503632","Achromobacter spanius","3.34164355072464","Achromobacter xylosoxidans","3.82487439189189","Achromobacter xylosoxidans","6.78821559284116","Achromobacter xylosoxidans","3.793938336","Acidovorax antarcticus","3.40624064102564","Acidovorax antarcticus","5.93177730932203","Acidovorax antarcticus","11.5287969008264","Achromobacter spanius","3.237946512","Achromobacter spanius","2.90275316849817","Achromobacter spanius","3.44768061674009","Achromobacter spanius","4.29519592356688","Achromobacter xylosoxidans","3.3644130269876","Achromobacter xylosoxidans","3.41576108504399","Acidovorax antarcticus","8.44697236947791","Achromobacter spanius","2.17622849162011","Achromobacter spanius","4.0415339055794","Acidovorax antarcticus","5.05285772594752","Achromobacter spanius","1.49870748743719","Achromobacter spanius","2.56940992977528","Acidothermus cellulolyticus","2.8651729588015","Achromobacter xylosoxidans","2.92231445086705","Achromobacter spanius","3.43372423963134","Achromobacter spanius","1.9064578313253","Achromobacter insolitus","0.243986842105263"
"Acidibrevibacterium fodinaquatile","1.40003161764706","Acidovorax avenae","1.10126050847458","Acidibrevibacterium fodinaquatile","3.8029482745098","Acidovorax antarcticus","5.98258231234867","Achromobacter xylosoxidans","2.9805084057971","Acidiferrobacter thiooxydans","0.274942297297297","Acidothermus cellulolyticus","3.96769814317673","Acidibrevibacterium fodinaquatile","1.480747504","Acidovorax avenae","0.895159935897436","Acidovorax avenae","1.13488860169492","Acidovorax avenae","1.59756904958678","Achromobacter xylosoxidans","4.051371712","Achromobacter xylosoxidans","4.1393202014652","Achromobacter xylosoxidans","4.96474511013216","Achromobacter xylosoxidans","3.2094799044586","Acidibrevibacterium fodinaquatile","4.05820159008023","Acidiferrobacter thiooxydans","0.225403401759531","Acidovorax avenae","1.84180369477912","Achromobacter xylosoxidans","2.75739681564246","Achromobacter xylosoxidans","4.79990017167382","Acidovorax avenae","0.998899008746356","Achromobacter xylosoxidans","4.06803762144054","Achromobacter xylosoxidans","5.86914269662921","Acidovorax antarcticus","11.7914132209738","Acidiferrobacter thiooxydans","0.33589","Achromobacter xylosoxidans","3.24849843317972","Achromobacter xylosoxidans","4.62223469879518","Achromobacter spanius","10.6175463157895"
"Acidothermus cellulolyticus","0.975915726643599","Acidovorax carolinensis","28.7038031942634","Acidothermus cellulolyticus","2.50906008627451","Acidovorax avenae","1.31993207021792","Acidothermus cellulolyticus","1.36570775362319","Acidothermus cellulolyticus","1.13095412162162","Acidovorax antarcticus","10.2367344295302","Acidothermus cellulolyticus","1.82197332","Acidovorax carolinensis","27.7606870512821","Acidovorax carolinensis","32.8668300211864","Acidovorax carolinensis","61.8793337190083","Acidibrevibacterium fodinaquatile","14.536981776","Acidothermus cellulolyticus","1.373633003663","Acidibrevibacterium fodinaquatile","2.38919854625551","Acidibrevibacterium fodinaquatile","2.09554828025478","Acidothermus cellulolyticus","2.05140746170678","Acidothermus cellulolyticus","1.07945765395894","Acidovorax carolinensis","48.0197796519411","Acidovorax antarcticus","6.98592273743017","Acidibrevibacterium fodinaquatile","9.86729532188841","Acidovorax carolinensis","27.2891486880466","Acidibrevibacterium fodinaquatile","1.96651341708543","Acidibrevibacterium fodinaquatile","1.71242671348315","Acidovorax avenae","1.59525382022472","Acidothermus cellulolyticus","1.47634208092486","Acidibrevibacterium fodinaquatile","3.65280557603687","Acidovorax antarcticus","10.921228313253","Achromobacter xylosoxidans","3.23655105263158"
"Acidovorax antarcticus","8.76040902249135","Acidovorax citrulli","1.25106041720991","Acidovorax antarcticus","10.3958991137255","Acidovorax carolinensis","34.9632178692494","Acidovorax antarcticus","9.6333397826087","Acidovorax antarcticus","5.58183972972973","Acidovorax avenae","2.06747263982103","Acidovorax antarcticus","27.924560688","Acidovorax citrulli","0.892469230769231","Acidovorax citrulli","1.32439103813559","Acidovorax citrulli","1.08013917355372","Acidothermus cellulolyticus","2.0328399616","Acidovorax antarcticus","12.0622277289377","Acidiferrobacter thiooxydans","0.400925462555066","Acidiferrobacter thiooxydans","0.290882611464968","Acidovorax antarcticus","21.5235277169949","Acidovorax antarcticus","7.98224862170088","Acidovorax citrulli","1.44676792503347","Acidovorax avenae","1.33646150837989","Acidiferrobacter thiooxydans","0.344660729613734","Acidovorax citrulli","0.713262827988338","Acidothermus cellulolyticus","1.85364358458961","Acidothermus cellulolyticus","1.55452025280899","Acidovorax carolinensis","67.1435800749064","Acidovorax antarcticus","12.9786112138728","Acidiferrobacter thiooxydans","0.303201566820276","Acidovorax avenae","1.85494554216867","Acidiferrobacter thiooxydans","0.612617368421053"
"Acidovorax avenae","1.59159668685121","Acidovorax monticola","7.10180408083442","Acidovorax avenae","1.84706269019608","Acidovorax citrulli","1.18671944309927","Acidovorax avenae","1.51129253623188","Acidovorax avenae","1.74262027027027","Acidovorax carolinensis","55.77611098434","Acidovorax avenae","1.761678672","Acidovorax monticola","6.76892948717949","Acidovorax monticola","8.11385305084746","Acidovorax monticola","9.17588549586777","Acidovorax antarcticus","7.39071464","Acidovorax avenae","2.2124586996337","Acidothermus cellulolyticus","1.64194008810573","Acidothermus cellulolyticus","1.21688907643312","Acidovorax avenae","1.63760120350109","Acidovorax avenae","1.61820131964809","Acidovorax monticola","11.1749565863454","Acidovorax carolinensis","38.7796334078212","Acidipropionibacterium jensenii","0.27040678111588","Acidovorax monticola","7.23926524781341","Acidovorax antarcticus","14.47913319933","Acidovorax antarcticus","9.88961577247191","Acidovorax citrulli","1.47896760299625","Acidovorax avenae","2.24320734104046","Acidothermus cellulolyticus","1.79668838709677","Acidovorax carolinensis","47.8098573493976","Acidipropionibacterium jensenii","0.397282631578947"
