tissue,Total_Reads,Log Total_Reads,Unmapped_reads(non-human-reads),Log Unmapped_reads(non-human-reads),QCed_reads,Log QCed_reads,Microbial_reads,Log Microbial_reads,After Bowie Microbial reads,Log Non Human Microbial reads,Classified Microbial Reads (Agamemnon),Log Classified Microbial Reads (Agamemnon)
Adipose Tissue,94052558.3044983,7.97337061320288,2474938.78546713,6.39356446166853,303951.882352941,5.48280483728441,43402.955017301,4.63751929872955,42474.5190311419,4.628128469747,42474.5180175452,4.62812845938315
Muscle,100599789.022164,8.00259706991866,3560375.48109518,6.55149580155958,307395.152542373,5.48769701462535,19178.6336375489,4.2828176630635,18620.2346805737,4.26998515032072,18620.2342593239,4.26998514049558
Blood Vessel,92412884.8392157,7.96573252776177,2706202.92862745,6.43236035969646,318591.796078431,5.50323458827698,53125.071372549,4.72529952652535,52107.3019607843,4.71689858662141,52107.3078756882,4.71689863591987
Heart,99837330.6416465,7.99929296072876,2754132.56174334,6.43998483985995,286314.547215496,5.45684341443765,24458.0823244552,4.38842240247311,23682.7457627119,4.37443205280023,23682.7447449058,4.37443203413569
Uterus,88569092.3188406,7.94728219392767,1408746.28985507,6.14883278527593,204536.855072464,5.31077157401805,33634.7536231884,4.52678825079445,32835.3188405797,4.51634123777093,32835.3229135228,4.51634129164148
Vagina,86891373.9864865,7.93897666464183,1474828.28378378,6.16874145777422,273434.256756757,5.43685292350333,49802.3108108108,4.69724949434809,49230.2027027027,4.69223162396053,49230.2064299201,4.69223165684095
Breast,92356797.7628635,7.96546886644926,2008503.05145414,6.30287249587784,309918.067114094,5.4912468947912,60202.6219239374,4.779615405914,59257.9552572707,4.77274666172714,59257.9547888346,4.77274665829403
Skin,93053755.4,7.96873390478099,2782924,6.44450134617187,338452.6048,5.5294978608647,42958.5344,4.63304945628437,42114.6624,4.62443332364551,42114.6597182441,4.62443329599073
Salivary Gland,93827580.1282051,7.9723305157447,1508613.74358974,6.1785780598548,350485.217948718,5.54466970590131,21696.0128205128,4.33637992881844,21057.6282051282,4.32340945348611,21057.6292490324,4.32340947501569
Brain,97027756.0381356,7.98689598756413,2484062.44915254,6.39516250977404,286271.313559322,5.45677783077717,22647.9491525424,4.35502888131311,21493.1694915254,4.33230046347575,21493.169948686,4.33230047271321
Adrenal Gland,92172553.4297521,7.96460161879174,1384802.4214876,6.14138781428226,178655.396694215,5.25201613959314,26490.5619834711,4.42309117172613,25433.3223140496,4.40540309507211,25433.3237011978,4.40540311875878
Thyroid,93184805.792,7.96934510442865,3573406.4768,6.55308242023005,373948.5536,5.57281185774998,39960.2208,4.60162787925256,38854.2912,4.58943899074474,38854.2925801443,4.58943900617133
Lung,94621191.1538462,7.97598841093181,4313452.2967033,6.63482499945444,499722.615384615,5.69872900426447,47200.4542124542,4.67394617789285,46252.1062271062,4.66513151441521,46252.1021271555,4.6651314759178
Spleen,88587281.938326,7.94737137673502,1451064.83700441,6.16168681817456,378894.052863436,5.57851778862452,67445.4889867841,4.82895290769714,66335.6123348018,4.82174674240502,66335.615073987,4.82174676033827
