Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Experimental_Factor:_individual (exp),Experimental_Factor:_organism_part (exp),External_Id,Individual,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism_part,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,specimen_with_known_storage_state,SRA Study,Submitter_Id
ERR315327,RNA-Seq,202,1238068302,PRJEB4337,SAMEA2145122,ArrayExpress,831730779,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.zq,geo.fc,sra,fastq,run.realign.summary","ncbi,ena,gs,s3","gs.US,ena,ncbi.public,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288481,V110,liver,SAMEA2145122,V110,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:29Z,public,Illumina HiSeq 2000,V110,PAIRED,cDNA,TRANSCRIPTOMIC,liver,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:32:00Z,2,SAMEA2145122,E-MTAB-1733:liver_c,frozen specimen,ERP003613,E-MTAB-1733:liver_c
ERR315372,RNA-Seq,202,3231502878,PRJEB4337,SAMEA2163623,ArrayExpress,1384791080,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.realign.summary,realign,sra,geo.fc,fastq,run.zq","ena,s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288625,V247,skin,SAMEA2163623,V247,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V247,PAIRED,cDNA,TRANSCRIPTOMIC,skin,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:45:00Z,2,SAMEA2163623,E-MTAB-1733:skin_5f,frozen specimen,ERP003613,E-MTAB-1733:skin_5f
ERR315401,RNA-Seq,202,2954463110,PRJEB4337,SAMEA2147596,ArrayExpress,1261526048,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.realign.summary,geo.fc,fastq,run.zq,sra","ncbi,s3,gs,ena","ena,ncbi.public,s3.us-east-1,gs.US",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288589,V246,skin,SAMEA2147596,V246,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V246,PAIRED,cDNA,TRANSCRIPTOMIC,skin,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:43:00Z,2,SAMEA2147596,E-MTAB-1733:skin_5e,frozen specimen,ERP003613,E-MTAB-1733:skin_5e
ERR315414,RNA-Seq,202,4607859572,PRJEB4337,SAMEA2155590,ArrayExpress,3396703139,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"run.zq,geo.fc,run.realign.summary,realign,sra,fastq","s3,gs,ncbi,ena","ena,ncbi.public,gs.US,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288509,V111,liver,SAMEA2155590,V111,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:48Z,public,Illumina HiSeq 2000,V111,PAIRED,cDNA,TRANSCRIPTOMIC,liver,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T08:47:00Z,2,SAMEA2155590,E-MTAB-1733:liver_d,frozen specimen,ERP003613,E-MTAB-1733:liver_d
ERR315448,RNA-Seq,202,5462908604,PRJEB4337,SAMEA2146236,ArrayExpress,2464025194,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,realign,fastq,run.realign.summary,sra,run.zq","ncbi,gs,ena,s3","gs.US,ncbi.public,ena,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288586,V85,spleen,SAMEA2146236,V85,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V85,PAIRED,cDNA,TRANSCRIPTOMIC,spleen,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:41:00Z,2,SAMEA2146236,E-MTAB-1733:spleen_3d,frozen specimen,ERP003613,E-MTAB-1733:spleen_3d
ERR315451,RNA-Seq,202,3051845896,PRJEB4337,SAMEA2162895,ArrayExpress,2048276574,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"fastq,run.realign.summary,run.zq,realign,sra,geo.fc","s3,ena,gs,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288588,V108,liver,SAMEA2162895,V108,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:55Z,public,Illumina HiSeq 2000,V108,PAIRED,cDNA,TRANSCRIPTOMIC,liver,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:33:00Z,2,SAMEA2162895,E-MTAB-1733:liver_a,frozen specimen,ERP003613,E-MTAB-1733:liver_a
ERR315460,RNA-Seq,202,3283101960,PRJEB4337,SAMEA2163623,ArrayExpress,1404724999,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,run.realign.summary,sra,fastq,run.zq,realign","gs,ena,s3,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288485,V247,skin,SAMEA2163623,V247,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:35Z,public,Illumina HiSeq 2000,V247,PAIRED,cDNA,TRANSCRIPTOMIC,skin,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:32:00Z,2,SAMEA2163623,E-MTAB-1733:skin_5f,frozen specimen,ERP003613,E-MTAB-1733:skin_5f
ERR315463,RNA-Seq,202,3104910892,PRJEB4337,SAMEA2162895,ArrayExpress,2085934870,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"geo.fc,fastq,run.zq,realign,sra,run.realign.summary","gs,s3,ncbi,ena","gs.US,ena,ncbi.public,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288554,V108,liver,SAMEA2162895,V108,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:10Z,2018-03-08T16:37:55Z,public,Illumina HiSeq 2000,V108,PAIRED,cDNA,TRANSCRIPTOMIC,liver,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:30:00Z,2,SAMEA2162895,E-MTAB-1733:liver_a,frozen specimen,ERP003613,E-MTAB-1733:liver_a
ERR315464,RNA-Seq,202,2916062102,PRJEB4337,SAMEA2147596,ArrayExpress,1246920022,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.realign.summary,sra,run.zq,geo.fc,fastq","ena,gs,ncbi,s3","s3.us-east-1,ena,gs.US,ncbi.public",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288593,V246,skin,SAMEA2147596,V246,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:20Z,public,Illumina HiSeq 2000,V246,PAIRED,cDNA,TRANSCRIPTOMIC,skin,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:32:00Z,2,SAMEA2147596,E-MTAB-1733:skin_5e,frozen specimen,ERP003613,E-MTAB-1733:skin_5e
ERR315494,RNA-Seq,202,3323095940,PRJEB4337,SAMEA2162328,ArrayExpress,2512577751,"SCIENCE FOR LIFE LABORATORY, STOCKHOLM, SWEDEN",human,public,"realign,run.zq,fastq,run.realign.summary,geo.fc,sra","ncbi,ena,gs,s3","ncbi.public,gs.US,ena,s3.us-east-1",adult,2013-12-06,2013-12-06,2018-11-16,2018-03-08,ERX288628,V5,kidney,SAMEA2162328,V5,"Science for Life Laboratory\, Stockholm\, Sweden","Science for Life Laboratory\, Stockholm\, Sweden",2013-12-06T17:03:09Z,2018-03-08T16:37:22Z,public,Illumina HiSeq 2000,V5,PAIRED,cDNA,TRANSCRIPTOMIC,kidney,Homo sapiens,ILLUMINA,2013-12-12T00:00:00Z,2021-10-27T09:36:00Z,2,SAMEA2162328,E-MTAB-1733:kidney_a,frozen specimen,ERP003613,E-MTAB-1733:kidney_a
